,,,,,,,,
Number,NumberAssigned,NationalCode,AreaCode,Networkcode,SubscriberNumber,Golden,GW,SubscriberName
254207900000,Yes,254,20,790,0000,Yes,,Cloud One
254207900001,Yes,254,20,790,0001,Yes,,Cloud One
254207900002,Yes,254,20,790,0002,Yes,,Cloud One
254207900003,Yes,254,20,790,0003,Yes,,Cloud One
254207900004,Yes,254,20,790,0004,Yes,,Cloud One
254207900005,Yes,254,20,790,0005,Yes,,Cloud One
254207900006,Yes,254,20,790,0006,Yes,,Cloud One
254207900007,Yes,254,20,790,0007,Yes,,Cloud One
254207900008,Yes,254,20,790,0008,Yes,,Cloud One
254207900009,Yes,254,20,790,0009,Yes,,Cloud One
254207900010,Yes,254,20,790,0010,Yes,,Cloud One
254207900011,Yes,254,20,790,0011,Yes,,Cloud One
254207900012,Yes,254,20,790,0012,Yes,,Cloud One
254207900013,Yes,254,20,790,0013,Yes,,Cloud One
254207900014,Yes,254,20,790,0014,Yes,,Cloud One
254207900015,Yes,254,20,790,0015,Yes,,Cloud One
254207900016,Yes,254,20,790,0016,Yes,,Cloud One
254207900017,Yes,254,20,790,0017,Yes,,Cloud One
254207900018,Yes,254,20,790,0018,Yes,,Cloud One
254207900019,Yes,254,20,790,0019,Yes,,Cloud One
254207900020,Yes,254,20,790,0020,Yes,,Cloud One
254207900021,Yes,254,20,790,0021,,,Cloud One
254207900022,Yes,254,20,790,0022,,,Cloud One
254207900023,Yes,254,20,790,0023,,,Cloud One
254207900024,Yes,254,20,790,0024,,,Cloud One
254207900025,Yes,254,20,790,0025,,,Cloud One
254207900026,Yes,254,20,790,0026,,,Cloud One
254207900027,Yes,254,20,790,0027,,,Cloud One
254207900028,Yes,254,20,790,0028,,,Cloud One
254207900029,Yes,254,20,790,0029,,,Cloud One
254207900030,Yes,254,20,790,0030,,,Cloud One
254207900031,Yes,254,20,790,0031,,,Cloud One
254207900032,Yes,254,20,790,0032,,,Cloud One
254207900033,Yes,254,20,790,0033,,,Cloud One
254207900034,Yes,254,20,790,0034,,,Cloud One
254207900035,Yes,254,20,790,0035,,,Cloud One
254207900036,Yes,254,20,790,0036,,,Cloud One
254207900037,Yes,254,20,790,0037,,,Cloud One
254207900038,Yes,254,20,790,0038,,,Cloud One
254207900039,Yes,254,20,790,0039,,,Cloud One
254207900040,Yes,254,20,790,0040,,,Cloud One
254207900041,Yes,254,20,790,0041,,,Cloud One
254207900042,Yes,254,20,790,0042,,,Cloud One
254207900043,Yes,254,20,790,0043,,,Cloud One
254207900044,Yes,254,20,790,0044,,,Cloud One
254207900045,Yes,254,20,790,0045,,,Cloud One
254207900046,Yes,254,20,790,0046,,,Cloud One
254207900047,Yes,254,20,790,0047,,,Cloud One
254207900048,Yes,254,20,790,0048,,,Cloud One
254207900049,Yes,254,20,790,0049,,,Cloud One
254207900050,Yes,254,20,790,0050,,,Cloud One
254207900051,Yes,254,20,790,0051,,,Cloud One
254207900052,Yes,254,20,790,0052,,,Cloud One
254207900053,Yes,254,20,790,0053,,,Cloud One
254207900054,Yes,254,20,790,0054,,,Cloud One
254207900055,Yes,254,20,790,0055,,,Cloud One
254207900056,Yes,254,20,790,0056,,,Cloud One
254207900057,Yes,254,20,790,0057,,,Cloud One
254207900058,Yes,254,20,790,0058,,,Cloud One
254207900059,Yes,254,20,790,0059,,,Cloud One
254207900060,Yes,254,20,790,0060,,,Cloud One
254207900061,Yes,254,20,790,0061,,,Cloud One
254207900062,Yes,254,20,790,0062,,,Cloud One
254207900063,Yes,254,20,790,0063,,,Cloud One
254207900064,Yes,254,20,790,0064,,,Cloud One
254207900065,Yes,254,20,790,0065,,,Cloud One
254207900066,Yes,254,20,790,0066,,,Cloud One
254207900067,Yes,254,20,790,0067,,,Cloud One
254207900068,Yes,254,20,790,0068,,,Cloud One
254207900069,Yes,254,20,790,0069,,,Cloud One
254207900070,Yes,254,20,790,0070,No,LS04,Cloud One
254207900071,Yes,254,20,790,0071,,,Cloud One
254207900072,Yes,254,20,790,0072,,,Cloud One
254207900073,Yes,254,20,790,0073,,,Cloud One
254207900074,Yes,254,20,790,0074,,,Cloud One
254207900075,Yes,254,20,790,0075,,,Cloud One
254207900076,Yes,254,20,790,0076,,,Cloud One
254207900077,Yes,254,20,790,0077,,,Cloud One
254207900078,Yes,254,20,790,0078,,,Cloud One
254207900079,Yes,254,20,790,0079,Yes,,Cloud One
254207900080,Yes,254,20,790,0080,,,Cloud One
254207900081,Yes,254,20,790,0081,,,Cloud One
254207900082,Yes,254,20,790,0082,,,Cloud One
254207900083,Yes,254,20,790,0083,,,Cloud One
254207900084,Yes,254,20,790,0084,,,Cloud One
254207900085,Yes,254,20,790,0085,,,Cloud One
254207900086,Yes,254,20,790,0086,,,Cloud One
254207900087,Yes,254,20,790,0087,,,Cloud One
254207900088,Yes,254,20,790,0088,,,Cloud One
254207900089,Yes,254,20,790,0089,,,Cloud One
254207900090,Yes,254,20,790,0090,,,Cloud One
254207900091,Yes,254,20,790,0091,,,Cloud One
254207900092,Yes,254,20,790,0092,,,Cloud One
254207900093,Yes,254,20,790,0093,,,Cloud One
254207900094,Yes,254,20,790,0094,,,Cloud One
254207900095,Yes,254,20,790,0095,,,Cloud One
254207900096,Yes,254,20,790,0096,,,Cloud One
254207900097,Yes,254,20,790,0097,,,Cloud One
254207900098,Yes,254,20,790,0098,,,Cloud One
254207900099,Yes,254,20,790,0099,,,Cloud One
254207900100,Yes,254,20,790,0100,,,Cloud One
254207900101,Yes,254,20,790,0101,,,Cloud One
254207900102,Yes,254,20,790,0102,,,Cloud One
254207900103,Yes,254,20,790,0103,,,Cloud One
254207900104,Yes,254,20,790,0104,,,Cloud One
254207900105,Yes,254,20,790,0105,,,Cloud One
254207900106,No,254,20,790,0106,,,Number cannot be issued before 15th February 2024
254207900107,Yes,254,20,790,0107,,,Cloud One
254207900108,Yes,254,20,790,0108,,,Cloud One
254207900109,Yes,254,20,790,0109,,,Cloud One
254207900110,Yes,254,20,790,0110,,,Cloud One
254207900111,Yes,254,20,790,0111,,,Cloud One
254207900112,Yes,254,20,790,0112,,,Cloud One
254207900113,Yes,254,20,790,0113,,,Cloud One
254207900114,Yes,254,20,790,0114,,,Cloud One
254207900115,Yes,254,20,790,0115,,,Cloud One
254207900116,Yes,254,20,790,0116,,,Cloud One
254207900117,Yes,254,20,790,0117,,,Cloud One
254207900118,Yes,254,20,790,0118,,,Cloud One
254207900119,Yes,254,20,790,0119,,,Cloud One
254207900120,Yes,254,20,790,0120,,,Cloud One
254207900121,Yes,254,20,790,0121,,,Cloud One
254207900122,Yes,254,20,790,0122,,,Cloud One
254207900123,Yes,254,20,790,0123,,,Cloud One
254207900124,Yes,254,20,790,0124,,,Cloud One
254207900125,Yes,254,20,790,0125,,,Cloud One
254207900126,Yes,254,20,790,0126,,,Cloud One
254207900127,Yes,254,20,790,0127,,,Cloud One
254207900128,Yes,254,20,790,0128,,,Cloud One
254207900129,Yes,254,20,790,0129,,,Cloud One
254207900130,Yes,254,20,790,0130,,,Cloud One
254207900131,Yes,254,20,790,0131,,,Cloud One
254207900132,Yes,254,20,790,0132,,,Cloud One
254207900133,Yes,254,20,790,0133,,,Cloud One
254207900134,Yes,254,20,790,0134,,,Cloud One
254207900135,Yes,254,20,790,0135,,,Cloud One
254207900136,Yes,254,20,790,0136,,,Cloud One
254207900137,Yes,254,20,790,0137,,,Cloud One
254207900138,Yes,254,20,790,0138,,,Cloud One
254207900139,Yes,254,20,790,0139,,,Cloud One
254207900140,Yes,254,20,790,0140,,,Cloud One
254207900141,Yes,254,20,790,0141,,,Cloud One
254207900142,Yes,254,20,790,0142,,,Cloud One
254207900143,Yes,254,20,790,0143,,,Cloud One
254207900144,Yes,254,20,790,0144,,,Cloud One
254207900145,Yes,254,20,790,0145,,,Cloud One
254207900146,Yes,254,20,790,0146,,,Cloud One
254207900147,Yes,254,20,790,0147,,,Cloud One
254207900148,Yes,254,20,790,0148,,,Cloud One
254207900149,Yes,254,20,790,0149,,,Cloud One
254207900150,Yes,254,20,790,0150,,,Cloud One
254207900151,Yes,254,20,790,0151,,,Cloud One
254207900152,Yes,254,20,790,0152,,,Cloud One
254207900153,Yes,254,20,790,0153,,,Cloud One
254207900154,Yes,254,20,790,0154,,,Cloud One
254207900155,Yes,254,20,790,0155,,,Cloud One
254207900156,Yes,254,20,790,0156,,,Cloud One
254207900157,Yes,254,20,790,0157,,,Cloud One
254207900158,Yes,254,20,790,0158,,,Cloud One
254207900159,Yes,254,20,790,0159,,,Cloud One
254207900160,Yes,254,20,790,0160,,,Cloud One
254207900161,Yes,254,20,790,0161,,,Cloud One
254207900162,Yes,254,20,790,0162,,,Cloud One
254207900163,Yes,254,20,790,0163,,,Cloud One
254207900164,Yes,254,20,790,0164,,,Cloud One
254207900165,Yes,254,20,790,0165,,,Cloud One
254207900166,Yes,254,20,790,0166,,,Cloud One
254207900167,Yes,254,20,790,0167,,,Cloud One
254207900168,Yes,254,20,790,0168,,,Cloud One
254207900169,Yes,254,20,790,0169,,,Cloud One
254207900170,Yes,254,20,790,0170,,,Cloud One
254207900171,Yes,254,20,790,0171,,,Cloud One
254207900172,Yes,254,20,790,0172,,,Cloud One
254207900173,Yes,254,20,790,0173,,,Cloud One
254207900174,Yes,254,20,790,0174,,,Cloud One
254207900175,Yes,254,20,790,0175,,,Cloud One
254207900176,Yes,254,20,790,0176,,,Cloud One
254207900177,Yes,254,20,790,0177,,,Cloud One
254207900178,Yes,254,20,790,0178,,,Cloud One
254207900179,Yes,254,20,790,0179,,,Cloud One
254207900180,Yes,254,20,790,0180,,,Cloud One
254207900181,Yes,254,20,790,0181,,,Cloud One
254207900182,Yes,254,20,790,0182,,,Cloud One
254207900183,Yes,254,20,790,0183,,,Cloud One
254207900184,Yes,254,20,790,0184,,,Cloud One
254207900185,Yes,254,20,790,0185,,,Cloud One
254207900186,Yes,254,20,790,0186,,,Cloud One
254207900187,Yes,254,20,790,0187,,,Cloud One
254207900188,Yes,254,20,790,0188,,,Cloud One
254207900189,Yes,254,20,790,0189,,,Cloud One
254207900190,Yes,254,20,790,0190,,,Cloud One
254207900191,Yes,254,20,790,0191,,,Cloud One
254207900192,Yes,254,20,790,0192,,,Cloud One
254207900193,Yes,254,20,790,0193,,,Cloud One
254207900194,Yes,254,20,790,0194,,,Cloud One
254207900195,Yes,254,20,790,0195,,,Cloud One
254207900196,Yes,254,20,790,0196,,,Cloud One
254207900197,Yes,254,20,790,0197,,,Cloud One
254207900198,Yes,254,20,790,0198,,,Cloud One
254207900199,Yes,254,20,790,0199,,,Cloud One
254207900200,Yes,254,20,790,0200,,,Cloud One
254207900201,Yes,254,20,790,0201,,,Cloud One
254207900202,Yes,254,20,790,0202,,,Cloud One
254207900203,Yes,254,20,790,0203,,,Cloud One
254207900204,Yes,254,20,790,0204,,,Cloud One
254207900205,Yes,254,20,790,0205,,,Cloud One
254207900206,Yes,254,20,790,0206,,,Cloud One
254207900207,Yes,254,20,790,0207,,,Cloud One
254207900208,Yes,254,20,790,0208,,,Cloud One
254207900209,Yes,254,20,790,0209,,,Cloud One
254207900210,Yes,254,20,790,0210,,,Cloud One
254207900211,Yes,254,20,790,0211,,,Cloud One
254207900212,Yes,254,20,790,0212,,,Cloud One
254207900213,Yes,254,20,790,0213,,,Cloud One
254207900214,Yes,254,20,790,0214,,,Cloud One
254207900215,Yes,254,20,790,0215,,,Cloud One
254207900216,Yes,254,20,790,0216,,,Cloud One
254207900217,Yes,254,20,790,0217,,,Cloud One
254207900218,Yes,254,20,790,0218,,,Cloud One
254207900219,Yes,254,20,790,0219,,,Cloud One
254207900220,Yes,254,20,790,0220,,,Cloud One
254207900221,Yes,254,20,790,0221,,,Cloud One
254207900222,Yes,254,20,790,0222,,,Cloud One
254207900223,Yes,254,20,790,0223,,,Cloud One
254207900224,Yes,254,20,790,0224,,,Cloud One
254207900225,Yes,254,20,790,0225,,,Cloud One
254207900226,Yes,254,20,790,0226,,,Cloud One
254207900227,Yes,254,20,790,0227,,,Cloud One
254207900228,Yes,254,20,790,0228,,,Cloud One
254207900229,Yes,254,20,790,0229,,,Cloud One
254207900230,Yes,254,20,790,0230,,,Cloud One
254207900231,Yes,254,20,790,0231,,,Cloud One
254207900232,Yes,254,20,790,0232,,,Cloud One
