,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Number,NumberAssigned,NationalCode,AreaCode,Networkcode,SubscriberNumber,Golden,GW,SubscriberName
254207900106,No,254,20,790,0106,,,Number cannot be issued before 15th February 2024
254207900290,No,254,20,790,0290,,,Cloud One
254207900304,No,254,20,790,0304,,,
254207900305,No,254,20,790,0305,,,
254207900306,No,254,20,790,0306,,,
254207900307,No,254,20,790,0307,,,
254207900308,No,254,20,790,0308,,,
254207900309,No,254,20,790,0309,,,
254207900310,No,254,20,790,0310,,,
254207900311,No,254,20,790,0311,,,
254207900312,No,254,20,790,0312,,,
254207900313,No,254,20,790,0313,,,
254207900314,No,254,20,790,0314,,,
254207900315,No,254,20,790,0315,,,
254207900316,No,254,20,790,0316,,,
254207900317,No,254,20,790,0317,,,
254207900318,No,254,20,790,0318,,,
254207900319,No,254,20,790,0319,,,
254207900320,No,254,20,790,0320,,,
254207900321,No,254,20,790,0321,,,
254207900322,No,254,20,790,0322,,,
254207900323,No,254,20,790,0323,,,
254207900324,No,254,20,790,0324,,,
254207900325,No,254,20,790,0325,,,
254207900326,No,254,20,790,0326,,,
254207900327,No,254,20,790,0327,,,
254207900328,No,254,20,790,0328,,,
254207900329,No,254,20,790,0329,,,
254207900330,No,254,20,790,0330,,,
254207900331,No,254,20,790,0331,,,
254207900332,No,254,20,790,0332,,,
254207900333,No,254,20,790,0333,,,
254207900334,No,254,20,790,0334,,,
254207900335,No,254,20,790,0335,,,
254207900336,No,254,20,790,0336,,,
254207900337,No,254,20,790,0337,,,
254207900338,No,254,20,790,0338,,,
254207900339,No,254,20,790,0339,,,
254207900340,No,254,20,790,0340,,,
254207900341,No,254,20,790,0341,,,
254207900342,No,254,20,790,0342,,,
254207900343,No,254,20,790,0343,,,
254207900344,No,254,20,790,0344,,,
254207900345,No,254,20,790,0345,,,
254207900346,No,254,20,790,0346,,,
254207900347,No,254,20,790,0347,,,
254207900348,No,254,20,790,0348,,,
254207900349,No,254,20,790,0349,,,
254207900350,No,254,20,790,0350,,,
254207900351,No,254,20,790,0351,,,
254207900352,No,254,20,790,0352,,,
254207900353,No,254,20,790,0353,,,
254207900354,No,254,20,790,0354,,,
254207900355,No,254,20,790,0355,,,
254207900356,No,254,20,790,0356,,,
254207900357,No,254,20,790,0357,,,
254207900358,No,254,20,790,0358,,,
254207900359,No,254,20,790,0359,,,
254207900360,No,254,20,790,0360,,,
254207900361,No,254,20,790,0361,,,
254207900362,No,254,20,790,0362,,,
254207900363,No,254,20,790,0363,,,
254207900364,No,254,20,790,0364,,,
254207900365,No,254,20,790,0365,,,
254207900366,No,254,20,790,0366,,,
254207900367,No,254,20,790,0367,,,
254207900368,No,254,20,790,0368,,,
254207900369,No,254,20,790,0369,,,
254207900370,No,254,20,790,0370,,,
254207900371,No,254,20,790,0371,,,
254207900372,No,254,20,790,0372,,,
254207900373,No,254,20,790,0373,,,
254207900374,No,254,20,790,0374,,,
254207900375,No,254,20,790,0375,,,
254207900376,No,254,20,790,0376,,,
254207900377,No,254,20,790,0377,,,
254207900378,No,254,20,790,0378,,,
254207900379,No,254,20,790,0379,,,
254207900380,No,254,20,790,0380,,,
254207900381,No,254,20,790,0381,,,
